epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,421.46,0.49042,0.65189,0.78744,0.62882,0.90308,0.84054,0.67984,0.62692,0.9191,0.82136,0.000278079,0.000278079,0.000278079
44,430.684,0.49924,0.65212,0.78739,0.63535,0.90037,0.8483,0.68821,0.63284,0.9309,0.82169,0.000273367,0.000273367,0.000273367
45,442.447,0.50849,0.6518,0.78477,0.62912,0.88866,0.84638,0.68033,0.64083,0.92157,0.81876,0.000268654,0.000268654,0.000268654
46,451.895,0.49106,0.63483,0.78752,0.6215,0.88638,0.84222,0.68169,0.65126,0.93969,0.81991,0.000263942,0.000263942,0.000263942
47,462.831,0.47487,0.62211,0.77844,0.6024,0.90279,0.83884,0.67218,0.65716,0.91455,0.82227,0.00025923,0.00025923,0.00025923
48,473.316,0.47892,0.60609,0.7884,0.75066,0.82906,0.83983,0.68396,0.64185,0.93014,0.82207,0.000254517,0.000254517,0.000254517
49,487.197,0.48972,0.62378,0.78877,0.72522,0.82906,0.83456,0.65993,0.66432,0.97079,0.8256,0.000249805,0.000249805,0.000249805
50,501.163,0.48734,0.62725,0.78335,0.75012,0.82906,0.83329,0.65255,0.6587,0.94347,0.8274,0.000245092,0.000245092,0.000245092
51,520.071,0.48365,0.60682,0.78313,0.74181,0.80536,0.83539,0.68338,0.63712,0.93884,0.82586,0.00024038,0.00024038,0.00024038
52,539.366,0.47006,0.60063,0.77797,0.71833,0.76849,0.83709,0.66396,0.66856,0.94615,0.81903,0.000235668,0.000235668,0.000235668
53,557.417,0.49503,0.63616,0.78639,0.72163,0.79702,0.84284,0.70791,0.61174,0.92514,0.81617,0.000230955,0.000230955,0.000230955
54,577.867,0.45156,0.59176,0.78489,0.7415,0.80543,0.90652,0.76778,0.61315,0.90018,0.8185,0.000226243,0.000226243,0.000226243
55,588.243,0.45005,0.57993,0.78251,0.633,0.90598,0.90713,0.76238,0.64926,0.89158,0.82012,0.00022153,0.00022153,0.00022153
56,598.804,0.4442,0.57515,0.77009,0.59112,0.90598,0.91179,0.77147,0.61791,0.87238,0.81795,0.000216818,0.000216818,0.000216818
57,608.98,0.44069,0.57551,0.78595,0.56757,0.90598,0.90182,0.75319,0.62326,0.8891,0.81456,0.000212106,0.000212106,0.000212106
58,619.534,0.45878,0.57486,0.78079,0.677,0.79689,0.89302,0.74293,0.64734,0.91697,0.81473,0.000207393,0.000207393,0.000207393
59,630.347,0.44105,0.58742,0.77879,0.68692,0.85192,0.91185,0.73321,0.62307,0.91069,0.8178,0.000202681,0.000202681,0.000202681
60,640.325,0.4531,0.56885,0.78613,0.71199,0.84098,0.91157,0.75389,0.64894,0.94416,0.81875,0.000197968,0.000197968,0.000197968
61,649.872,0.44956,0.57073,0.78578,0.72567,0.84191,0.91111,0.75735,0.64855,0.90881,0.81933,0.000193256,0.000193256,0.000193256
62,660.224,0.4436,0.55586,0.77802,0.72932,0.84831,0.91217,0.768,0.64548,0.87962,0.81836,0.000188544,0.000188544,0.000188544
63,671.171,0.44529,0.56497,0.7752,0.73142,0.84709,0.91185,0.76485,0.62683,0.86699,0.81704,0.000183831,0.000183831,0.000183831
64,682.246,0.45113,0.55218,0.77609,0.63519,0.97695,0.91185,0.745,0.63086,0.88144,0.81807,0.000179119,0.000179119,0.000179119
65,692.943,0.3955,0.55002,0.77513,0.62535,0.97432,0.91217,0.76017,0.64712,0.90953,0.81851,0.000174406,0.000174406,0.000174406
66,704.375,0.42826,0.54213,0.7807,0.62765,0.97468,0.87358,0.71159,0.64708,0.92327,0.8178,0.000169694,0.000169694,0.000169694
67,715.732,0.41567,0.54434,0.78311,0.62969,0.97464,0.87358,0.73498,0.61923,0.93062,0.81666,0.000164982,0.000164982,0.000164982
68,725.846,0.43418,0.54334,0.78157,0.60633,0.90598,0.86009,0.72042,0.59953,0.92262,0.81502,0.000160269,0.000160269,0.000160269
69,737.193,0.42408,0.55086,0.77321,0.58158,0.90598,0.86054,0.70869,0.61962,0.92339,0.81443,0.000155557,0.000155557,0.000155557
70,749.161,0.42406,0.56398,0.77837,0.68438,0.82906,0.86054,0.70681,0.63465,0.91117,0.8136,0.000150844,0.000150844,0.000150844
71,759.827,0.39247,0.51385,0.78046,0.72457,0.87723,0.8739,0.72402,0.63027,0.87885,0.81631,0.000146132,0.000146132,0.000146132
72,769.653,0.42705,0.55196,0.77457,0.72603,0.81329,0.89942,0.74268,0.63438,0.87711,0.81614,0.00014142,0.00014142,0.00014142
73,781.092,0.41931,0.55164,0.78063,0.74817,0.8214,0.89942,0.75032,0.60899,0.87679,0.81276,0.000136707,0.000136707,0.000136707
74,791.351,0.41715,0.54446,0.77559,0.7545,0.82696,0.89942,0.7557,0.60726,0.86982,0.81364,0.000131995,0.000131995,0.000131995
75,803.234,0.41352,0.52267,0.78163,0.74545,0.82906,0.89836,0.75702,0.62591,0.88134,0.81461,0.000127282,0.000127282,0.000127282
76,814.879,0.42391,0.53183,0.78056,0.63197,0.90598,0.89836,0.7552,0.61173,0.86711,0.81257,0.00012257,0.00012257,0.00012257
